Gün / Saat,Format,Konu,Görsel & Sahne Kurgusu,TTS Tonu & Hız,Senaryo (Script - Ort. 25-30 Sn)
Gün 6 - 12:30,5 to 1 Ranking,Skateboard Fails,"Tam Ekran (Dummy Yok): Merdivenden uçanlar, direğe çarpan kaykaycılar. ""Oof"" ses efektleri.","Energetic, Fast (1.15x)","""Ranking the most painful skateboard fails from 5 to 1! Number 5: The classic speed wobble wipeout. Number 4: Missing the rail completely. Number 3: The skateboard hitting you right in the shin. Number 2: Splitting your pants on a jump. And Number 1: The legendary faceplant straight into a trash can! Tag a skater and subscribe!"""
Gün 6 - 17:30,Tier List,Apple vs Microsoft,"Bölünmüş Ekran (Dummy Var): Üstte Dummy. Altta S-A-B-C-D panosu. Apple S'ye, Microsoft C'ye.","Sarcastic, Loud (1.15x)","""Mac or PC? Let's rank the biggest tech commercials! Microsoft putting Bill Gates and Jerry Seinfeld in a shoe store? So weird and confusing. Solid C-Tier. But Apple’s legendary 1984 ad? It completely changed the world of advertising. A cinematic masterpiece! Easy S-Tier. Apple or Microsoft? Tell me your favorite in the comments and hit subscribe!"""
Gün 6 - 22:30,5 to 1 Ranking,Golf Fails,"Tam Ekran (Dummy Yok): Topu ıskalayanlar, göle düşen golf arabaları. Su sıçrama SFX.","Laughing, Fast (1.15x)","""Ranking the funniest golf fails from 5 to 1! Number 5: Missing the ball entirely. Number 4: Hitting the golf cart by accident. Number 3: Throwing the club into the lake out of anger. Number 2: The golf cart rolling away on its own. And Number 1: Falling into the water hazard while trying to swing! Subscribe for more!"""
Gün 7 - 12:30,5 to 1 Ranking,Magic Trick Fails,"Tam Ekran (Dummy Yok): Düşen kartlar, kaçan tavşanlar, yanan şapkalar.","Shocked, Fast (1.15x)","""Ranking the worst magic trick fails from 5 to 1! Number 5: Dropping the hidden cards. Number 4: The rabbit escaping before the trick starts. Number 3: Messing up the mind-reading act completely. Number 2: Getting stuck inside the escape box. And Number 1: Accidentally setting the magician's hat on fire! Magic is hard! Subscribe for more fails!"""
Gün 7 - 17:30,Tier List,Pepsi vs Coca-Cola,"Bölünmüş Ekran (Dummy Var): Üstte Dummy kahkaha atar. Altta Kendall Jenner (D), Kutup Ayıları (A).","Mocking, Fast (1.15x)","""The ultimate soda war! Who has the best ads? Coca-Cola’s polar bears? Classic, cozy, and perfectly nostalgic. Absolute A-Tier! But Pepsi’s Kendall Jenner ad? Thinking a can of soda can stop a protest? The biggest PR disaster of the decade. Straight to D-Tier trash! Coke or Pepsi? Fight in the comments and subscribe!"""
Gün 7 - 22:30,5 to 1 Ranking,Live TV News Fails,"Tam Ekran (Dummy Yok): Yayına giren çocuklar, bayılan muhabirler. Glitch efektleri.","Amused, Fast (1.15x)","""Ranking the most embarrassing live TV news fails from 5 to 1! Number 5: The weather map glitching out. Number 4: A bird landing on the reporter's head. Number 3: The news anchor reading the teleprompter entirely wrong. Number 2: A kid walking into the live interview. And Number 1: The reporter falling out of a boat on live TV! Subscribe!"""
Gün 8 - 12:30,5 to 1 Ranking,Parkour Fails,"Tam Ekran (Dummy Yok): Çatıdan çöp kutusuna düşenler, kayan ayakkabılar.","Tense, Fast (1.15x)","""Ranking the most painful parkour fails from 5 to 1! Number 5: Slipping on the very first jump. Number 4: Miscalculating the wall flip. Number 3: Landing straight into a muddy puddle. Number 2: Getting stuck on a high fence. And Number 1: Missing the roof jump and landing directly in a dumpster! Don't try this at home! Subscribe!"""
Gün 8 - 17:30,Tier List,PlayStation vs Xbox,"Bölünmüş Ekran (Dummy Var): Üstte Dummy oyun oynar gibi yapar. Altta PS Bebek (D), Xbox (S).","Disgusted, Energetic (1.15x)","""Console wars are crazy, but their ads are crazier! Remember PlayStation 3’s crying baby ad? Creepy, weird, and gave everyone nightmares. Solid D-Tier! But Xbox’s 'Life is Short' commercial? Banned from TV because it was too extreme and brilliant! Pure S-Tier legend! Are you PlayStation or Xbox? Drop a comment below and subscribe!"""
Gün 8 - 22:30,5 to 1 Ranking,Trampoline Fails,"Tam Ekran (Dummy Yok): Yırtılan trambolinler, uçan çocuklar. Yay sesleri (Boing SFX).","Laughing, Fast (1.15x)","""Ranking the funniest trampoline fails from 5 to 1! Number 5: The double bounce sending someone flying. Number 4: Landing right on the metal springs. Number 3: The trampoline completely tearing in half. Number 2: Bouncing straight over the safety net. And Number 1: Getting stuck in the net like a giant spider web! Tag a friend and subscribe!"""
Gün 9 - 12:30,5 to 1 Ranking,Fishing Fails,"Tam Ekran (Dummy Yok): Yüze çarpan balıklar, göle düşen oltalar.","Excited, Fast (1.15x)","""Ranking the craziest fishing fails from 5 to 1! Number 5: The fish slapping the guy right in the face. Number 4: Hooking your buddy's hat instead of a fish. Number 3: Dropping the brand new fishing rod into the lake. Number 2: The boat motor falling off completely. And Number 1: A massive alligator stealing your catch! Subscribe!"""
