Seri / Format,Konu,Görsel & Sahne Kurgusu,TTS Tonu & Hız,Senaryo (Script - Ort. 25-30 Sn)
Spor Tier List 1,Olympic Sprinters,"Bölünmüş Ekran: Dummy koşu pozu verir. Altta Gatlin (D), Lyles (C), Farah (A), Bolt (S).","Sarcastic, Fast (1.15x)","""Let's rank Olympic sprinters! Justin Gatlin? Banned twice, total D-Tier! Noah Lyles acting like an anime character? A bit much, C-Tier. Mo Farah's long-distance dominance? Absolute A-Tier. But Usain Bolt smiling at the camera while destroying everyone? The ultimate GOAT, easy S-Tier! Who is the fastest alive? Comment below and subscribe!"""
Spor Tier List 2,WWE Entrances,"Bölünmüş Ekran: Dummy şaşkın bakar. Altta Shockmaster (D), Cena (C), Triple H (A), Undertaker (S).","Energetic, Loud (1.15x)","""Let's rank the craziest WWE entrances! The Shockmaster tripping through the wall? Hilarious disaster, D-Tier! John Cena's rap? Nostalgic but cheesy, C-Tier. Triple H spitting water? Badass, A-Tier. But The Undertaker slowly walking out while the arena goes dark? Pure goosebumps, S-Tier legend! Who is your favorite wrestler? Drop a comment!"""
Spor Tier List 3,UFC Knockouts,"Bölünmüş Ekran: Dummy boks gardı alır. Altta Askren (D), Jones (C), Masvidal (A), McGregor (S).","Mocking, Fast (1.15x)","""Let's rank crazy UFC moments! Ben Askren getting knocked out in 5 seconds? Embarrassing, D-Tier! Jon Jones crawling like a spider? Weird, C-Tier. Jorge Masvidal's flying knee? Brutal, A-Tier! But Conor McGregor's billionaire strut after a knockout? Absolute box office S-Tier! Who is the baddest fighter? Subscribe and tell me!"""
Spor Tier List 4,Volleyball Kills,"Bölünmüş Ekran: Dummy smaç vurur gibi yapar. Altta Teammate Hit (D), Setter Fail (C), N'Gapeth (A), Nishida (S).","Excited, Fast (1.15x)","""Let's rank epic volleyball moments! Spiking the ball directly into your own teammate's head? Tragic, D-Tier! The setter completely missing the ball? C-Tier. Earvin N'Gapeth's no-look fake spike? Disrespectful and genius, A-Tier! But Yuji Nishida jumping out of the gym for a monster kill? S-Tier gravity defiance! Do you play volleyball? Comment below!"""
Spor Tier List 5,Soccer Red Cards,"Bölünmüş Ekran: Dummy kırmızı kart gösterir. Altta Neymar (D), Pepe (C), Suarez (B), Zidane (S).","Angry, Loud (1.15x)","""Let's rank the craziest football red cards! Neymar rolling on the floor for ten minutes? Give him an Oscar, D-Tier! Pepe kicking everyone like a ninja? Psycho behavior, C-Tier. Luis Suarez biting a player? Disgusting, B-Tier. But Zidane headbutting Materazzi in the World Cup Final? Absolutely iconic S-Tier madness! Who deserved the red? Subscribe!"""
Spor Tier List 6,NBA Dunk Contest,"Bölünmüş Ekran: Dummy zıplar (animasyon). Altta Robinson (C), Griffin (B), Gordon (A), Carter (S).","Impressed, Fast (1.15x)","""Let's rank NBA dunk contest moments! Nate Robinson jumping over Howard? Cool, but he missed five times. C-Tier. Blake Griffin jumping over a car? Overrated, B-Tier. Aaron Gordon’s sitting mascot dunk? Robbed, A-Tier! But Vince Carter’s 2000 performance? 'It is over!' Pure S-Tier perfection! Who is the best dunker? Comment!"""
Spor Tier List 7,Boxing Walkouts,"Bölünmüş Ekran: Dummy yumruk atar. Altta Wilder (D), Mayweather (C), Fury (A), Ali (S).","Sarcastic, Fast (1.15x)","""Let's rank legendary boxing walkouts! Deontay Wilder blaming his heavy costume for losing? Huge excuse, D-Tier! Floyd Mayweather walking out with Justin Bieber? Cringe, C-Tier. Tyson Fury coming out on a throne singing? Classic, A-Tier! But Muhammad Ali doing the Ali Shuffle before the bell? Pure S-Tier greatness! Who hits the hardest? Subscribe!"""
Spor Tier List 8,Olympic Memes,"Bölünmüş Ekran: Dummy breakdans yapmaya çalışır. Altta Raygun (D), Isinbayeva (B), Pommel Guy (A), Biles (S).","Laughing, Fast (1.15x)","""Let's rank Olympic viral moments! Raygun’s Australian breakdancing? Looking like a kangaroo, absolute D-Tier! Yelena Isinbayeva’s pole vault records? Legendary, B-Tier. The Pommel Horse guy sleeping before winning gold? Hilarious, A-Tier. But Simone Biles doing moves literally nobody else can do? The undisputed S-Tier queen of gymnastics! What’s your favorite sport? Comment below!"""
Spor Tier List 9,NFL Celebrations,"Bölünmüş Ekran: Dummy topu yere çarpar. Altta Gronk (C), Johnson (B), Owens (A), Moss (S).","Mocking, Loud (1.15x)","""Let's rank NFL touchdown celebrations! Rob Gronkowski spiking the ball? Simple, C-Tier. Chad Johnson putting on a fake Hall of Fame jacket? Arrogant, B-Tier. Terrell Owens eating popcorn from the crowd? Classic, A-Tier! But Randy Moss pretending to moon the Green Bay fans? A disgusting act! Absolute S-Tier legend! What’s the best celebration? Subscribe!"""
Spor Tier List 10,F1 Angry Radios,"Bölünmüş Ekran: Dummy kulaklıkla bağırır. Altta Stroll (D), Alonso (B), Verstappen (A), Raikkonen (S).","Annoyed, Fast (1.15x)","""Let's rank angry Formula 1 team radios! Lance Stroll crying about his car? Annoying, D-Tier! Fernando Alonso screaming 'GP2 Engine'? Brutal, B-Tier. Max Verstappen yelling at his engineer? Intense, A-Tier! But Kimi Raikkonen saying 'Leave me alone, I know what I am doing'? The ultimate S-Tier Iceman! Who is the best driver? Drop a comment!"""
Spor Tier List 11,Soccer Goalies,"Bölünmüş Ekran: Dummy eldiven takar. Altta Karius (D), Neuer (B), Martinez (A), Higuita (S).","Shocked, Fast (1.15x)","""Let's rank crazy goalkeeper moments! Karius throwing the ball to Benzema? Tragic, D-Tier! Manuel Neuer playing as a midfielder? Risky, B-Tier. Emi Martinez doing that weird shoulder dance in the World Cup? Toxic, A-Tier. But René Higuita’s scorpion kick save? The most insane move ever, S-Tier! Who is the best keeper? Subscribe!"""
Spor Tier List 12,Tennis Tantrums,"Bölünmüş Ekran: Dummy sinirle raket fırlatır. Altta Djokovic (D), Williams (B), Federer (A), McEnroe (S).","Angry, Loud (1.15x)","""Let's rank epic tennis moments! Novak Djokovic hitting the line judge? Huge mistake, D-Tier. Serena Williams smashing her racket? Classic rage, B-Tier. Federer hitting a tweener between his legs? Pure magic, A-Tier. But John McEnroe screaming 'You cannot be serious'? The S-Tier godfather of all tantrums! Who is the tennis GOAT? Comment below!"""
Spor Tier List 13,UFC Mic Drops,"Bölünmüş Ekran: Dummy mikrofon tutar. Altta Ortiz (D), Lewis (B), Sonnen (A), McGregor (S).","Energetic, Fast (1.15x)","""Let's rank the best UFC post-fight interviews! Tito Ortiz trying to form a sentence? Painful to watch, D-Tier! Derrick Lewis saying 'my balls was hot'? Hilarious, B-Tier. Chael Sonnen trash-talking the entire country of Brazil? A-Tier villain! But McGregor saying 'I’d like to apologize to absolutely nobody'? S-Tier legend! Who is the best talker? Subscribe!"""
Spor Tier List 14,Extreme Sports,"Bölünmüş Ekran: Dummy kaykaydan düşer. Altta Brown (D), Huston (B), Pastrana (A), Hawk (S).","Shocked, Fast (1.15x)","""Let's rank X-Games extreme moments! Jake Brown falling 45 feet from the mega ramp? Terrifying, D-Tier! Nyjah Huston grinding a massive rail? Cool, B-Tier. Travis Pastrana landing the first double backflip? A-Tier madness. But Tony Hawk landing the 900 in 1999? A cultural reset! Unbeatable S-Tier! Do you skate? Tell me in the comments!"""
Spor Tier List 15,WWE Finishers,"Bölünmüş Ekran: Dummy yere atlar (animasyon). Altta Scotty 2 Hotty (D), Mysterio (B), Orton (A), Austin (S).","Excited, Loud (1.15x)","""Let's rank iconic wrestling finishing moves! Scotty 2 Hotty’s 'The Worm'? Takes way too long, D-Tier! Rey Mysterio’s 619? Super acrobatic, B-Tier. Randy Orton’s RKO outta nowhere? Beautiful, A-Tier. But Stone Cold Steve Austin’s Stunner? Simple, destructive, and usually involves drinking beer right after! Easy S-Tier! Who is the best wrestler ever? Subscribe!"""
