Gün / Saat,Format,Konu,Görsel & Sahne Kurgusu,TTS Tonu & Hız,Senaryo (Script - Ort. 25-30 Sn)
Gün 1 - 12:30,5 to 1 Ranking,Epic Pool Fails,"Tam Ekran (Dummy Yok): Havuza atlayamayan, suya göbekleme düşen komik insan videoları.","Energetic, Fast (1.15x)","""Ranking the most epic pool fails from 5 to 1! Number 5: The classic belly flop. Ouch! Number 4: Slipping on the diving board. Number 3: The double bounce disaster. Number 2: Missing the pool entirely! And Number 1: The majestic swan dive straight into concrete! Which one made you laugh? Subscribe for more!"""
Gün 1 - 17:30,Tier List,Nike vs Adidas,"Bölünmüş Ekran (Dummy Var): Üstte Dummy. Altta S-A-B-C-D panosu. Nike S'ye, Adidas C'ye.","Sarcastic, Loud (1.15x)","""Who owns the sports world? Let’s rank the biggest sneaker ads! Adidas 'Is All In'? It has everyone, but it's totally forgettable. C-Tier. But Nike's 'Dream Crazy' with Colin Kaepernick? That didn't just sell shoes, it changed the internet! Pure S-Tier legend. Nike or Adidas? Comment below and subscribe!"""
Gün 1 - 22:30,5 to 1 Ranking,Cooking Fails,"Tam Ekran (Dummy Yok): Yanan tencereler, mutfağa dökülen unlar, fırlayan krep videoları.","Shocked, Fast (1.15x)","""Ranking the absolute worst cooking fails from 5 to 1! Number 5: Burning water. How? Number 4: Forgetting the blender lid. Number 3: Dropping the Thanksgiving turkey. Number 2: Setting the microwave on fire with noodles. And Number 1: Flipping a pancake straight onto the ceiling! Comment your biggest kitchen disaster and subscribe!"""
Gün 2 - 12:30,5 to 1 Ranking,Funny Kids Moments,"Tam Ekran (Dummy Yok): Spagetti yerken uyuyan, duvarı boyayan çocuk videoları.","Amused, Fast (1.15x)","""Ranking the funniest kids moments from 5 to 1! Number 5: Falling asleep while eating spaghetti. Number 4: Getting stuck inside a claw machine. Number 3: Blaming the family dog for drawing on the walls. Number 2: Cutting their own hair! And Number 1: Finding the hidden chocolate stash and turning into a zombie! Subscribe for laughs!"""
Gün 2 - 17:30,Tier List,Dior vs Chanel Ads,"Bölünmüş Ekran (Dummy Var): Üstte Dummy parfüm taklidi yapar. Altta Depp (S), Pitt (D).","Mocking, Fast (1.15x)","""Why do perfume ads make zero sense? Let's rank them! Brad Pitt staring at a wall for Chanel? Just confusing and boring. Straight to D-Tier. Johnny Depp playing guitar for wolves? I don't get it, but the charisma is insane! S-Tier for sure. Dior or Chanel? Tell me in the comments and hit subscribe!"""
Gün 2 - 22:30,5 to 1 Ranking,Couple Fails,"Tam Ekran (Dummy Yok): Suya düşen çiftler, yanlış giden romantik anlar.","Laughing, Fast (1.15x)","""Ranking the most embarrassing couple fails from 5 to 1! Number 5: Dropping her during a piggyback ride. Number 4: Getting rejected on the kiss cam. Number 3: The tandem bike disaster. Number 2: Throwing her into the lake, but taking her phone with you! And Number 1: The proposal ring falling into the ocean! Tag your partner and subscribe!"""
Gün 3 - 12:30,5 to 1 Ranking,Epic Water Splash,"Tam Ekran (Dummy Yok): Kopan ip salıncakları, şişme flamingo kazaları.","Excited, Fast (1.15x)","""Ranking the most epic water splash fails from 5 to 1! Number 5: The rope swing snapping in half. Number 4: The inflatable flamingo flipping over. Number 3: The waterslide launch into orbit. Number 2: Jumping off the boat onto a wave. And Number 1: The legendary cannonball that emptied the entire hot tub! Hit subscribe for more!"""
Gün 3 - 17:30,Tier List,Volvo vs BMW Ads,"Bölünmüş Ekran (Dummy Var): Üstte Dummy kollarını bağlar. Altta Van Damme (S), BMW (B).","Impressed, Loud (1.15x)","""Car ads are usually so boring, let's rank the crazy ones! BMW’s action mini-films? Good, but trying too hard. Solid B-Tier. But Jean-Claude Van Damme doing an epic split between two moving Volvo trucks? Absolutely mind-blowing. Easy S-Tier! Which car brand is your favorite? Drop a comment and subscribe!"""
Gün 3 - 22:30,5 to 1 Ranking,Funny Pet Fails,"Tam Ekran (Dummy Yok): Atlayamayan kediler, kendi osuruğundan korkan köpekler.","Energetic, Fast (1.15x)","""Ranking the funniest pet fails from 5 to 1! Number 5: The cat missing an easy jump. Number 4: The dog getting scared of its own fart. Number 3: Stealing pizza and running into a glass door. Number 2: Getting stuck in a tiny sweater. And Number 1: The golden retriever jumping straight into mud! Subscribe for more!"""
Gün 4 - 12:30,5 to 1 Ranking,Birthday Cake Fails,"Tam Ekran (Dummy Yok): Yere düşen pastalar, yanan peçeteler.","Shocked, Fast (1.15x)","""Ranking the worst birthday cake fails from 5 to 1! Number 5: Spelling the name completely wrong. Number 4: The cake sliding off the table. Number 3: The dog eating the cake before the song ends. Number 2: Lighting the napkins on fire with candles. And Number 1: Smashing their face so hard the table breaks! Subscribe!"""
